Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2023-01-25,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90007,6486466,Closed with non-monetary relief
2022-04-02,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,CA,92555,5399412,Closed with non-monetary relief
2024-03-05,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,NV,89074,8477823,Closed with explanation
2020-04-07,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,756XX,3597010,Closed with explanation
2025-01-19,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"Block, Inc.",IL,60099,11625045,Closed with explanation
2025-12-22,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",MS,XXXXX,18224384,Closed with non-monetary relief
2024-08-07,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,NC,279XX,9738198,Closed with explanation
2021-02-09,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92879,4128348,Closed with explanation
2021-11-15,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,,"Flagstar Bank, N.A.",CA,93010,4913748,Closed with explanation
2025-03-28,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32810,12711439,Closed with non-monetary relief
2022-11-01,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",CA,92707,6146492,Closed with explanation
2025-05-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"Portfolio Recovery Associates, LLC",TX,76544,13319984,Closed with explanation
2020-11-15,Mortgage,Conventional home mortgage,Closing on a mortgage,,"PENNYMAC LOAN SERVICES, LLC.",CA,94559,3955766,Closed with explanation
